slice_id,z_um,z_mm,relative_depth_percent,slice_zone
145,11600.0,11.6,33.41013824884793,lower_middle_25_50
146,11680.0,11.68,33.6405529953917,lower_middle_25_50
147,11760.0,11.76,33.87096774193548,lower_middle_25_50
148,11840.0,11.84,34.10138248847927,lower_middle_25_50
149,11920.0,11.92,34.331797235023046,lower_middle_25_50
150,12000.0,12.0,34.56221198156682,lower_middle_25_50
151,12080.0,12.08,34.7926267281106,lower_middle_25_50
152,12160.0,12.16,35.02304147465438,lower_middle_25_50
153,12240.0,12.24,35.25345622119816,lower_middle_25_50
154,12320.0,12.32,35.483870967741936,lower_middle_25_50
155,12400.0,12.4,35.714285714285715,lower_middle_25_50
156,12480.0,12.48,35.944700460829495,lower_middle_25_50
157,12560.0,12.56,36.175115207373274,lower_middle_25_50
158,12640.0,12.64,36.405529953917046,lower_middle_25_50
159,12720.0,12.72,36.63594470046083,lower_middle_25_50
160,12800.0,12.8,36.86635944700461,lower_middle_25_50
161,12880.0,12.88,37.096774193548384,lower_middle_25_50
162,12960.0,12.96,37.327188940092164,lower_middle_25_50
163,13040.0,13.04,37.55760368663594,lower_middle_25_50
164,13120.0,13.12,37.78801843317972,lower_middle_25_50
165,13200.0,13.2,38.0184331797235,lower_middle_25_50
166,13280.0,13.28,38.24884792626728,lower_middle_25_50
167,13360.0,13.36,38.47926267281106,lower_middle_25_50
168,13440.0,13.44,38.70967741935484,lower_middle_25_50
169,13520.0,13.52,38.94009216589861,lower_middle_25_50
170,13600.0,13.6,39.1705069124424,lower_middle_25_50
171,13680.0,13.68,39.40092165898618,lower_middle_25_50
172,13760.0,13.76,39.63133640552996,lower_middle_25_50
173,13840.0,13.84,39.86175115207373,lower_middle_25_50
174,13920.0,13.92,40.09216589861751,lower_middle_25_50
175,14000.0,14.0,40.32258064516129,lower_middle_25_50
176,14080.0,14.08,40.55299539170507,lower_middle_25_50
177,14160.0,14.16,40.78341013824885,lower_middle_25_50
178,14240.0,14.24,41.013824884792626,lower_middle_25_50
179,14320.0,14.32,41.244239631336406,lower_middle_25_50
180,14400.0,14.4,41.474654377880185,lower_middle_25_50
181,14480.0,14.48,41.705069124423964,lower_middle_25_50
182,14560.0,14.56,41.935483870967744,lower_middle_25_50
183,14640.0,14.64,42.16589861751152,lower_middle_25_50
184,14720.0,14.72,42.3963133640553,lower_middle_25_50
185,14800.0,14.8,42.626728110599075,lower_middle_25_50
186,14880.0,14.88,42.857142857142854,lower_middle_25_50
187,14960.0,14.96,43.08755760368664,lower_middle_25_50
188,15040.0,15.04,43.31797235023041,lower_middle_25_50
189,15120.0,15.12,43.54838709677419,lower_middle_25_50
190,15200.0,15.2,43.77880184331797,lower_middle_25_50
191,15280.0,15.28,44.00921658986175,lower_middle_25_50
192,15360.0,15.36,44.23963133640553,lower_middle_25_50
193,15440.0,15.44,44.47004608294931,lower_middle_25_50
194,15520.0,15.52,44.70046082949309,lower_middle_25_50
195,15600.0,15.6,44.93087557603687,lower_middle_25_50
196,15680.0,15.68,45.16129032258064,lower_middle_25_50
197,15760.0,15.76,45.39170506912442,lower_middle_25_50
198,15840.0,15.84,45.622119815668206,lower_middle_25_50
199,15920.0,15.92,45.852534562211986,lower_middle_25_50
200,16000.0,16.0,46.08294930875576,lower_middle_25_50
201,16080.0,16.08,46.31336405529954,lower_middle_25_50
202,16160.0,16.16,46.54377880184332,lower_middle_25_50
