z_index,z_position_mm,pores_fraction,resin_fraction,material_fraction,total_fraction
133,10.64,0.005812659917677161,0.21790521748804093,0.7762821225942819,1.0
134,10.72,0.006174212926910669,0.21618088775169653,0.7776448993213928,1.0
135,10.8,0.006674824785849371,0.215096228723996,0.7782289464901546,1.0
136,10.88,0.006313271776615864,0.21734898208922016,0.776337746134164,1.0
137,10.96,0.006368895316497942,0.22363444209589498,0.7699966625876071,1.0
138,11.040000000000001,0.006285460006674824,0.2258593836911781,0.7678551563021471,1.0
139,11.120000000000001,0.0057848481477361215,0.22110357103126044,0.7731115808210034,1.0
140,11.200000000000001,0.005757036377795083,0.2183780175770386,0.7758649460451663,1.0
141,11.28,0.0064245188563800204,0.21476248748470353,0.7788129936589164,1.0
142,11.36,0.006813883635554567,0.21328846367782844,0.7798976526866169,1.0
143,11.44,0.00700856602514184,0.2113972633218378,0.7815941706530204,1.0
144,11.52,0.0077316720436088554,0.2092557570363778,0.7830125709200133,1.0
145,11.6,0.008649460451663144,0.20992323951496272,0.7814273000333741,1.0
146,11.68,0.007926354433196128,0.21328846367782844,0.7787851818889754,1.0
147,11.76,0.006786071865613527,0.2173211703192791,0.7758927578151074,1.0
148,11.84,0.006702636555790411,0.21812771164756925,0.7751696517966403,1.0
149,11.92,0.006368895316497942,0.21693180554010458,0.7766992991433975,1.0
150,12.0,0.005701412837913005,0.21403938146623652,0.7802592056958505,1.0
151,12.08,0.006507954166203137,0.21278785181888976,0.7807041940149071,1.0
152,12.16,0.007536989654021582,0.20914450995661363,0.7833185003893648,1.0
153,12.24,0.007092001334964957,0.20903326287684948,0.7838747357881856,1.0
154,12.32,0.008649460451663144,0.2037768383579931,0.7875737011903438,1.0
155,12.4,0.010401601957948604,0.19668483702302814,0.7929135610190232,1.0
156,12.48,0.010568472577594839,0.19206808321281565,0.7973634442095895,1.0
157,12.56,0.008871954611191456,0.19070530648570475,0.8004227389031038,1.0
158,12.64,0.008093225052842363,0.18842474135053955,0.8034820335966181,1.0
159,12.72,0.0075648014239626206,0.19306930693069307,0.7993658916453443,1.0
160,12.8,0.006285460006674824,0.20358215596840584,0.7901323840249194,1.0
161,12.88,0.006341083546556903,0.2092557570363778,0.7844031594170653,1.0
162,12.96,0.005645789298030926,0.21106352208254534,0.7832906886194237,1.0
163,13.040000000000001,0.004894871509622872,0.20797641561909,0.7871287128712872,1.0
164,13.120000000000001,0.005534542218266771,0.20146846145288685,0.7929969963288463,1.0
165,13.200000000000001,0.004728000889976638,0.200856602514184,0.7944153965958394,1.0
166,13.280000000000001,0.0031149182333963733,0.20333185003893647,0.7935532317276671,1.0
167,13.36,0.003365224162865725,0.20780954499944376,0.7888252308376905,1.0
168,13.44,0.004922683279563912,0.2059739681833352,0.7891033485371008,1.0
169,13.52,0.005478918678384692,0.2059183446434531,0.7886027366781622,1.0
170,13.6,0.00525642451885638,0.2071142507509178,0.7876293247302258,1.0
171,13.68,0.004839247969740794,0.20533429747469129,0.7898264545555679,1.0
172,13.76,0.0054511069084436535,0.20386027366781623,0.7906886194237401,1.0
173,13.84,0.005896095227500278,0.20169095561241518,0.7924129491600845,1.0
174,13.92,0.005979530537323395,0.20080097897430194,0.7932194904883747,1.0
175,14.0,0.007536989654021582,0.20352653242852375,0.7889364779174547,1.0
176,14.08,0.012070308154410946,0.20119034375347647,0.7867393480921125,1.0
177,14.16,0.015963955946156412,0.202275002781177,0.7817610412726665,1.0
178,14.24,0.019941039047724998,0.20269217933029257,0.7773667816219825,1.0
179,14.32,0.021136945155189678,0.205111803315163,0.7737512515296473,1.0
180,14.4,0.0233618867504728,0.20002224941595284,0.7766158638335744,1.0
181,14.48,0.024947157637112027,0.1945155189676271,0.7805373233952608,1.0
182,14.56,0.026170875514517744,0.18514295249749693,0.7886861719879853,1.0
183,14.64,0.028534875959506063,0.1802758927578151,0.7911892312826788,1.0
184,14.72,0.03209478251195906,0.18099899877628212,0.7869062187117588,1.0
185,14.8,0.03565468906441206,0.18252864612303926,0.7818166648125486,1.0
186,14.88,0.03826899543886973,0.18814662365112916,0.7735843809100011,1.0
187,14.96,0.03865836021804428,0.19687951941261542,0.7644621203693404,1.0
188,15.040000000000001,0.03829680720881077,0.20794860384914896,0.7537545889420403,1.0
189,15.120000000000001,0.03829680720881077,0.21434531093558795,0.7473578818556013,1.0
190,15.200000000000001,0.03979864278562688,0.21640338191122482,0.7437979753031483,1.0
191,15.280000000000001,0.043108243408610525,0.21501279341417287,0.7418789631772166,1.0
192,15.36,0.04477694960507287,0.21501279341417287,0.7402102569807543,1.0
193,15.44,0.04563911447324508,0.21370564022694405,0.7406552452998109,1.0
194,15.52,0.04583379686283235,0.21045166314384248,0.7437145399933252,1.0
195,15.6,0.04575036155300923,0.20536210924463233,0.7488875292023585,1.0
196,15.68,0.04666814996106352,0.19749137835131828,0.7558404716876183,1.0
197,15.76,0.046918455890532874,0.1936533540994549,0.7594281900100123,1.0
198,15.84,0.04814217376793859,0.19242963622204917,0.7594281900100123,1.0
