phase,label_3d,volume_voxels,volume_mm3,equivalent_diameter_voxels,equivalent_diameter_um,centroid_z_pixels,centroid_y_pixels,centroid_x_pixels,centroid_z_mm,centroid_y_mm,centroid_x_mm,bbox_z_pixels,bbox_y_pixels,bbox_x_pixels,bbox_z_mm,bbox_y_mm,bbox_x_mm,longest_axis_bbox_pixels,intermediate_axis_bbox_pixels,shortest_axis_bbox_pixels,elongation_bbox,flatness_bbox,extent_3d,mean_intensity,min_intensity,max_intensity
resin,4784,119.0,0.06092800000000001,6.102616979201714,488.2093583361371,109.03361344537815,16.907563025210084,109.45378151260505,8.722689075630253,1.3526050420168068,8.756302521008404,9,7,7,0.72,0.56,0.56,9.0,7.0,7.0,1.2857142857142858,1.2857142857142858,0.2698412698412698,141.2436974789916,92.0,167.0
resin,4785,268.0,0.13721600000000003,7.999178545777086,639.9342836621669,109.40671641791045,13.902985074626866,144.24253731343285,8.752537313432835,1.1122388059701493,11.539402985074629,8,8,8,0.64,0.64,0.64,8.0,8.0,8.0,1.0,1.0,0.5234375,122.45149253731343,90.0,167.0
resin,4791,242.0,0.12390400000000001,7.731651102653187,618.532088212255,110.14876033057851,51.289256198347104,134.62809917355372,8.811900826446282,4.103140495867768,10.770247933884297,10,10,9,0.8,0.8,0.72,10.0,10.0,9.0,1.1111111111111112,1.0,0.2688888888888889,145.0206611570248,114.0,168.0
resin,4795,266.0,0.13619200000000004,7.979230386796232,638.3384309436985,111.76691729323308,62.19924812030075,193.04511278195488,8.941353383458646,4.97593984962406,15.443609022556391,11,8,14,0.88,0.64,1.12,14.0,11.0,8.0,1.75,1.2727272727272727,0.2159090909090909,133.98496240601503,96.0,168.0
resin,4797,189.0,0.09676800000000002,7.1201267897377285,569.6101431790182,108.47619047619048,64.2010582010582,144.40740740740742,8.678095238095239,5.136084656084656,11.552592592592594,7,9,10,0.56,0.72,0.8,10.0,9.0,7.0,1.4285714285714286,1.1111111111111112,0.3,131.24338624338625,88.0,168.0
resin,4802,185.0,0.09472000000000001,7.0695380347374215,565.5630427789937,111.44324324324324,89.32972972972973,57.75675675675676,8.91545945945946,7.146378378378379,4.62054054054054,11,10,7,0.88,0.8,0.56,11.0,10.0,7.0,1.5714285714285714,1.1,0.24025974025974026,146.8108108108108,119.0,168.0
resin,4814,256.0,0.13107200000000002,7.877960174741571,630.2368139793257,109.609375,169.67578125,1.9921875,8.76875,13.5740625,0.15937500000000002,8,8,6,0.64,0.64,0.48,8.0,8.0,6.0,1.3333333333333333,1.0,0.6666666666666666,121.359375,90.0,167.0
resin,4829,1299.0,0.6650880000000001,13.537449293438986,1082.9959434751188,119.7782909930716,33.25789068514242,184.34719014626637,9.582263279445728,2.6606312548113937,14.74777521170131,26,18,22,2.08,1.44,1.76,26.0,22.0,18.0,1.4444444444444444,1.1818181818181819,0.12616550116550115,129.21555042340262,88.0,168.0
resin,4842,282.0,0.144384,8.136110319695444,650.8888255756356,110.43617021276596,126.92553191489361,107.04964539007092,8.834893617021278,10.15404255319149,8.563971631205673,11,11,11,0.88,0.88,0.88,11.0,11.0,11.0,1.0,1.0,0.21187077385424494,130.19148936170214,94.0,168.0
resin,4850,229.0,0.11724800000000002,7.590649763967882,607.2519811174305,111.68558951965065,2.510917030567686,60.86899563318777,8.934847161572051,0.20087336244541487,4.869519650655022,8,7,8,0.64,0.56,0.64,8.0,8.0,7.0,1.1428571428571428,1.0,0.5111607142857143,123.04366812227074,91.0,168.0
