label,eccentricity,area_um2,diameter_um,perimeter_um,centroid_x_um,centroid_y_um,circularity
27,0.16888080133695046,18400.0,153.06079714651622,442.842712474619,18370.0,5923.478260869565,1.1790403893427925
28,0.5773502691896258,3200.0,63.83076486422923,153.1370849898476,13170.0,6420.0,1.7147432047717244
29,0.0,2000.0,50.46265044040321,113.13708498984761,14700.0,6580.0,1.963495408340222
30,0.4509717590117594,12000.0,123.60774464742066,341.4213562373095,3407.3333333333335,6647.333333333334,1.2936290026752557
31,0.36624554818214167,26000.0,181.9456736586892,551.1269837220809,7041.846153846154,6753.846153846153,1.0756719949028923
32,0.4885387645851213,16400.0,144.50303987687133,431.12698372208087,15439.512195121952,6887.804878048781,1.108774682273551
33,0.0,4800.0,78.17640190446718,193.1370849898476,18930.0,7070.0,1.6170362533145917
34,0.0,2000.0,50.46265044040321,113.13708498984761,9220.0,7100.0,1.963495408340222
35,0.0,2000.0,50.46265044040321,113.13708498984761,19300.0,7180.0,1.963495408340222
36,0.0,4800.0,78.17640190446718,193.1370849898476,12730.0,7290.0,1.6170362533145917
37,0.0,2000.0,50.46265044040321,113.13708498984761,17520.0,7320.0,1.963495408340222
38,0.5773502691896258,3200.0,63.83076486422923,153.1370849898476,3870.0,7420.0,1.7147432047717244
39,0.27209945302352534,27200.0,186.09705966725113,567.6955262170047,5697.941176470587,7524.411764705883,1.0605907243719992
40,0.5440588203494177,10400.0,115.07254783503184,313.1370849898476,8100.0,7810.0,1.3328282662067954
41,0.0,2000.0,50.46265044040321,113.13708498984761,8000.0,8260.0,1.963495408340222
42,0.537318610054862,8800.0,105.85134856802455,289.7056274847714,4510.0,8585.454545454544,1.3175850953129944
43,0.3559748719737539,23200.0,171.86959427966244,501.4213562373095,6172.068965517242,8632.068965517243,1.159557246907661
44,0.0,12800.0,127.66152972845846,353.1370849898476,6390.0,8770.0,1.2898320915059882
45,0.5773502691896258,6400.0,90.270333367641,233.1370849898476,12130.0,9280.0,1.4796776499902178
46,0.4464331142884258,15200.0,139.11592676604096,397.9898987322333,4491.578947368421,9436.842105263158,1.2058946070882788
47,0.5563486402641867,4800.0,78.17640190446718,209.7056274847714,11800.0,9416.666666666666,1.371610911633414
48,0.0,4800.0,78.17640190446718,193.1370849898476,4290.0,9470.0,1.6170362533145917
49,0.0,2000.0,50.46265044040321,113.13708498984761,21360.0,9500.0,1.963495408340222
50,0.7226591383582849,7200.0,95.74614729634384,261.4213562373095,16532.222222222223,9605.555555555555,1.3239153988778602
51,0.5773502691896258,3200.0,63.83076486422923,153.1370849898476,6740.0,9750.0,1.7147432047717244
52,0.816496580927726,3200.0,63.83076486422923,113.13708498984761,11130.0,9750.0,3.1415926533443557
53,0.0,2000.0,50.46265044040321,113.13708498984761,1620.0,9760.0,1.963495408340222
54,0.5983861878397494,16000.0,142.7299292922217,442.842712474619,18732.0,9813.5,1.0252525124719936
55,0.6379094078906983,8400.0,103.41765891652821,289.7056274847714,3949.5238095238096,9867.619047619048,1.2576948637078582
56,0.35367328862559694,53600.0,261.2386640560787,824.2640687119285,2071.0447761194027,10147.014925373134,0.9913840255102265
57,0.5773502691896258,6400.0,90.270333367641,233.1370849898476,8460.0,10050.0,1.4796776499902178
58,0.0,2000.0,50.46265044040321,113.13708498984761,15900.0,10080.0,1.963495408340222
59,0.0,2000.0,50.46265044040321,113.13708498984761,4340.0,10200.0,1.963495408340222
60,0.5849866175853744,9600.0,110.55812783082736,301.4213562373095,20622.5,10226.666666666666,1.3278012032019386
61,0.5773502691896258,3200.0,63.83076486422923,153.1370849898476,21360.0,10250.0,1.7147432047717244
62,0.5772605011571389,20800.0,162.73715780512876,482.842712474619,14810.76923076923,10318.076923076924,1.121145135656697
63,0.1904761904761901,11200.0,119.41642642883693,329.70562748477136,6610.0,10664.285714285714,1.2947179437533511
64,0.6874877446571902,8400.0,103.41765891652821,289.7056274847714,3645.7142857142853,10801.904761904761,1.2576948637078582
65,0.13491358179982915,16400.0,144.50303987687133,409.70562748477136,7460.0,10824.878048780487,1.2277497479126047
66,0.3651649694776038,24000.0,174.80774889473267,517.9898987322333,1935.0,10952.666666666666,1.1240316092569491
67,0.0,4800.0,78.17640190446718,193.1370849898476,18970.0,10950.0,1.6170362533145917
68,0.6164414002968978,4000.0,71.36496464611085,181.4213562373095,2454.0,10966.0,1.5271898776602446
69,0.41792368492942683,18400.0,153.06079714651622,454.5584412271571,21786.521739130436,11271.739130434782,1.1190467566157238
70,0.430331482911935,14000.0,133.5116235624909,386.2741699796952,4380.0,11620.0,1.1790889347322633
71,0.21463237774583271,76400.0,311.8902069924069,972.5483399593904,6994.869109947644,11763.769633507854,1.0150345586144096
72,0.7685222550084844,6400.0,90.270333367641,249.7056274847714,6090.0,11810.0,1.2898320914956451
73,0.8749653919296679,6400.0,90.270333367641,266.2741699796952,6390.0,12100.0,1.1343099947926802
74,0.3571164654045968,40000.0,225.6758334191025,704.2640687119285,1994.1999999999998,12248.599999999999,1.013441752074915
75,0.6720406680775184,10400.0,115.07254783503184,329.70562748477136,14833.846153846154,12190.0,1.2022380906281118
76,0.0,2000.0,50.46265044040321,113.13708498984761,11780.0,12200.0,1.963495408340222
77,0.0,2000.0,50.46265044040321,113.13708498984761,17100.0,12260.0,1.963495408340222
