slice_id,z_um,pore_fraction,resin_fraction,matrix_fraction,assigned_fraction,mean_intensity,std_intensity,mean_intensity_pores,mean_intensity_resin,mean_intensity_matrix,pore_object_count,mean_pore_area_um2,median_pore_area_um2,mean_pore_equivalent_diameter_um,median_pore_equivalent_diameter_um,resin_object_count,mean_resin_area_um2,median_resin_area_um2,mean_resin_equivalent_diameter_um,median_resin_equivalent_diameter_um,heterogeneity_index
36,2880.0,0.0036155300923350763,0.1977138725108466,0.7949160084547781,0.9962454110579597,186.17393480921126,32.458507967112176,67.33846153846154,130.19172879448587,200.83846476803583,37,22486.486486486487,6400.0,147.61338293436188,90.270333367641,245,185704.48979591837,128000.0,417.86630563967924,403.7012035232256,0.3367295328700995
37,2960.0,0.003476471242629881,0.19612860162420737,0.7964178440315942,0.9960229168984314,186.2683557681611,32.3687581032336,66.456,130.1055019852524,200.8299343483727,37,21621.62162162162,6400.0,143.69188172452934,90.270333367641,235,192054.46808510637,128000.0,426.4553414249259,403.7012035232256,0.3376747347787417
38,3040.0,0.0035320947825119593,0.19685170764267437,0.7955000556235399,0.9958838580487263,186.24788630548449,32.50587698960041,68.39370078740157,129.77366487708392,200.9662622801804,45,18062.222222222223,6400.0,137.43667474112885,90.270333367641,232,195255.1724137931,121600.0,422.6882575018973,393.4792607492748,0.33713920109838547
39,3120.0,0.0036989654021581933,0.19974413171654243,0.7921348314606742,0.9955779285793748,186.17838469240183,32.55152168716778,69.32330827067669,130.27930938457254,201.0486623130398,49,17371.428571428572,6400.0,132.97501141107782,90.270333367641,253,181679.0513833992,83200.0,398.0485244575844,325.4743156102575,0.3351602540851861
40,3200.0,0.003420847702747803,0.20772610968962066,0.7840416064078318,0.9951885638002003,186.0720324841473,33.21687125687717,67.48780487804878,130.0629267639577,201.6833386541804,42,18742.85714285714,6400.0,137.9048515109881,90.270333367641,239,200006.69456066945,140800.0,430.3641961959184,423.4053942720982,0.33052970294402423
41,3280.0,0.0031983535432194904,0.21559684058293468,0.7762264990543998,0.995021693180554,185.96885081766604,33.78989840470925,67.62608695652175,129.99019607843138,202.27810820494446,31,23741.935483870966,12800.0,160.1678573636472,127.66152972845846,249,199248.19277108434,147200.0,433.57596472186435,432.9213103844808,0.32608643111349855
42,3360.0,0.003448659472688842,0.21871175881633106,0.7728890866614752,0.995049504950495,185.86903437534764,34.21215550412358,66.14516129032258,129.845498474059,202.533357322778,42,18895.238095238095,9600.0,136.0624625419748,108.96593154804972,241,208836.51452282158,166400.0,451.78256987602833,460.29019134012736,0.3241209108460533
43,3440.0,0.00350428301257092,0.21684837023028145,0.7743352986984091,0.9946879519412616,185.86441762153743,34.17308607484179,65.12698412698413,129.7569578042837,202.41232670066805,33,24436.363636363636,6400.0,148.26705852545072,90.270333367641,253,197236.36363636365,121600.0,424.7387201441274,393.4792607492748,0.32497655124072605
44,3520.0,0.003643341862276115,0.21593058182222716,0.7764211814439871,0.9959951051284904,186.0159361441762,34.088239346709024,65.82442748091603,129.73737764039154,202.4257979009206,34,24658.823529411766,6400.0,145.9929743360715,90.270333367641,254,195628.3464566929,128000.0,423.122923196267,403.7012035232256,0.32598588481077084
45,3600.0,0.0038936477917454666,0.21734898208922016,0.7737790632995883,0.995021693180554,186.2424073868061,34.27399332683017,65.38571428571429,130.1495841330774,202.8860973330458,28,32000.0,12800.0,162.37929050557298,127.66152972845846,261,191632.183908046,134400.0,423.8931609810495,413.67063566611284,0.32453405368783167
46,3680.0,0.00525642451885638,0.21554121704305262,0.774168428078763,0.9949660696406719,186.5049504950495,34.306080621608544,62.83068783068783,130.91109677419354,203.080866503808,41,29502.439024390245,12800.0,159.23107631252438,127.66152972845846,257,192996.10894941635,147200.0,437.231838760781,432.9213103844808,0.32446703720528636
47,3760.0,0.005701412837913005,0.21123039270219157,0.7795360996773835,0.9964679052174881,186.74324173990433,34.24750552135064,63.57560975609756,130.6391046741277,203.04406150772414,41,32000.0,12800.0,170.1743283706812,127.66152972845846,266,182736.84210526315,124800.0,416.1327962637781,398.59023213625017,0.3272840527568547
48,3840.0,0.0040048948715096224,0.20786516853932585,0.784208477027478,0.9960785404383135,186.98901435087328,33.64229895737683,65.65972222222223,130.40500401391492,202.83182608078874,41,22478.048780487807,6400.0,148.87219435219805,90.270333367641,235,203547.2340425532,128000.0,436.73879424411285,403.7012035232256,0.3303950917761594
