slice_id,z_um,pore_fraction,resin_fraction,matrix_fraction,mean_intensity,std_intensity,pore_object_count,mean_pore_equivalent_diameter_um,resin_object_count,mean_resin_equivalent_diameter_um,heterogeneity_index,PC1,PC2,is_anomaly,anomaly_score,anomaly_category
265,21200.0,0.0120146846145288,0.1858104349760818,0.797752808988764,188.30331516297696,35.84992778817264,62,171.63216121559375,235,418.8651517748317,0.3369904106863763,1.5227820933984113,0.5605392950629402,False,-0.13862738913909717,normal
266,21280.0,0.0090666370007787,0.185921682055846,0.801284903771276,188.65271442874624,34.93642671465385,49,178.4262381964373,239,410.0642319993131,0.339535529773358,1.7927390060951638,0.38935685423714556,False,-0.13895110967651003,normal
267,21360.0,0.0071198131049059,0.182389587273334,0.8074869284681278,189.0100122371788,34.176162436161626,56,152.2843416308935,256,383.7027423184312,0.3435199653037646,1.9194355392890716,-0.45571394275752464,False,-0.10059595768101964,normal
268,21440.0,0.0055901657581488,0.1868672822338413,0.8038157748359106,189.1464567805095,34.17939963487081,57,135.75191703937517,266,390.2062636597927,0.3416708875299072,1.8012153866108913,-0.8216839692951535,False,-0.11231684339161468,normal
269,21520.0,0.0046167538102124,0.195878295694738,0.7946100789854267,188.8352986984092,34.466494182606176,59,125.90370785747976,245,429.07135531305767,0.3365098941170289,1.7513584005424747,-0.7524100438132222,False,-0.15826304878364927,normal
270,21600.0,0.003587718322394,0.1983257314495494,0.7938869729669596,188.52458560462787,34.40945110828756,48,127.292904829384,249,425.7539597954046,0.3361859601216477,1.698061778769298,-0.7833129659971892,False,-0.1678792882270223,normal
271,21680.0,0.0041995772610968,0.1973801312715541,0.7949716319946601,188.34539437089776,34.44827589244576,53,128.96988555604383,254,416.58450567989456,0.3366096933198288,1.5648368995297348,-0.8253129934854152,False,-0.16589105513260755,normal
272,21760.0,0.0043664478807431,0.1960173545444432,0.7960841027923017,188.37328957614864,34.554688085189355,49,133.64758748898944,253,416.4599268869413,0.3372481805364699,1.642701025132546,-0.6857458446879015,False,-0.16645899340547027,normal
273,21840.0,0.0047280008899766,0.1906496829458226,0.8006452330626321,188.4571142507509,34.12904583588265,58,129.21368390550154,247,414.7464812686072,0.3399584424749859,1.9012103928016302,-0.8022929604676328,False,-0.16179279452379508,normal
274,21920.0,0.0053676715986205,0.1799977750584047,0.8105740349315831,188.7174046056291,33.51577948314867,58,134.5935987715372,246,398.21892393563377,0.3458450809413428,2.3543052979598844,-0.7890733607620475,False,-0.1124561134734886,normal
